"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientEmail","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q2_20_TEXT","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18"
"2022-09-27 15:09:21","2022-09-27 15:29:31","100","1210","True","2022-09-27 15:29:31","R_27Tl28mHdQj0Ao4",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"investigation and data analysis of a specific industry/field","I would first begin by looking up brief background information online, just to have a general basis for what I am looking into. A deep dive approach would take me to encyclopedias and libraries. I would begin to hone in on specific sub categories of the topic to narrow my lenses, this would then be followed by personal research: interviews, experiments, surveys, etc.  ","A primary source is the real, tangible document of an event. It can be a law, a photograph, a letter.","Secondary sources are sources describing events. Mostly articles or news reports on an issue. ","Clear","Confident","Unprepared","1-2","Research abilities, communication skills, leadership skills, act on strong personal ethics, innovative ideas","Strongly agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"The phrase ""Discovery experience"" is a concept where one has the opportunity to research new outlets/parts of description. "
"2022-09-27 12:56:05","2022-09-27 16:03:16","100","11230","True","2022-09-27 16:03:17","R_CaHSEfOE7EF7Nvz",NA,"37.8371","-122.2773","anonymous","EN","Japanese 1A",NA,"An image of a laboratory or library.","Look for possible resources on the course website. Ask the professor. Try to google the topic to see if it is in Wikipedia. Scroll down to find references they used. Find the articles on JSTOR/in the library. Contact the author if needed.","Outputs generated by yourself","Findings of someone else","Clear","Confident","Prepared","9-10","To be more communicative","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"The more interesting part happened during the journey."
"2022-09-29 09:48:31","2022-09-29 09:53:30","100","298","True","2022-09-29 09:53:30","R_9LAsJ8SwINJs7Dz",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Studying, spending hours on a specific topic. ","First off I would brainstorm my plan. After that I would begin to steadily analyze every part of a specific within my overall topic until I feel like I have gained as much knowledge as possible. I will repeat this step until I cannot, I will always be open minded to change and learning new things regardless of my previous beliefs. ","A source that was there during the time of the event. ","A source that studied a primary source. ","Clear","Unconfident","Unprepared","1-2","Determination, and not being scared (to ask for help, questions etc). ","Neither agree nor disagree","I feel like within a lot of classes they kind of make it robotic in the structure where there really is no room for creativity for students to truly show who they are within the projects/assignments ","Neither agree nor disagree",NA,"Somewhat agree",NA,"Just learning new things really "
"2022-09-29 09:48:30","2022-09-29 09:53:41","100","311","True","2022-09-29 09:53:42","R_xav0faaFpK7UBdn",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"achieving for a new discovery","I would try googling up as much info as I can, and then try to come up with my own hypothesis and try to prove it with evidence. ","A primary source is something that has actually been through the experience","A secondary source is something that has heard and was known to the experience, but did not actually go through the experience","Unclear","Unconfident","Unprepared","1-2","organization and deriving what you have learned into play","Neither agree nor disagree",NA,"Neither agree nor disagree",NA,"Neither agree nor disagree",NA,"going through research and discovering something new to you"
"2022-09-29 09:48:32","2022-09-29 09:54:27","100","354","True","2022-09-29 09:54:28","R_xuBUIZZ4SeKndi9",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Gathering information that is specific to the topic given. ","My first step would be to simply google the topic, then I would figure out the relevant concepts surrounding the topic and go to the library to find credible sources on the matter. Finally, I would put together the the information and present to others. ","A primary source is a source that experiments and creates the content themselves for the first time. ","A secondary source is a source that takes information from a primary source and manipulate it with their own data or opinion. ","Clear","Unconfident","Prepared","1-2","I think that time management, responsibility, and grit is necessary. ","Somewhat agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"It means to explore new topic and increase my understanding on foreign concepts. "
"2022-09-29 09:48:23","2022-09-29 09:55:44","100","440","True","2022-09-29 09:55:44","R_2y1PCShYERSZvMX",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Spending extensive time reading articles, taking notes, and formatting ideas about a topic. ","I would first go to a library website, like the Berkeley one, and try to find scholarly articles about the main subject. From there, I would continue to research any specific questions I had about the topic and ""fill in the blanks."" After this I should be well-versed on the topic I am studying. ","A primary source is a main source used to find information.","A secondary source is a source used to find answers to questions that arose from the primary source. ","Clear","Confident","Unprepared","1-2","Having a good sense of timing for completing projects and time management in general. I also think it is important to have a mindset that allows for failure, as this is inevitable at this level of education. ","Somewhat agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"This phrase basically hints towards making a major discovery during an experience, specifically a new experience. "
"2022-09-29 09:48:21","2022-09-29 09:56:51","100","510","True","2022-09-29 09:56:52","R_1eWuFKm7jkd7dxN",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Collecting both qualitative and quantitative information to better understand a topic. ","I would first make sure I understand the topic or question. Then I would collect sources that could give me the information I need. ","An artifact/article that directly relates to the research in some way. ","An article that is not directly related to the event but speaks on the research. ","Clear","Unconfident","Unprepared","1-2","I think you definitely need to have a strong writing ability in order to succeed here at Berkeley. Also, having the ability to conduct research and be curious. I think that they best thing you can do is to be willing and excited to learn. Having the ability to overcome failure is another really important skill, because chances are we will fail at some point during this process. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"This means learning how to research and take part in discovery over this semester, as well as the rest of our time here at Berkeley. "
"2022-09-29 09:48:31","2022-09-29 09:56:55","100","504","True","2022-09-29 09:56:56","R_25zQdzs3cf63DUI",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word research, I think about making my own conclusions regarding a topic by finding resources and material that will enable me to have a better understanding of the topic and task at hand.","I would first look it up online to get a basis of knowledge. Then I would look into academic papers that describe the topic. If that's not enough, I would try to find library resources to depend on my knowledge about the topic.","A primary source is a source that depicts or describes an event or occurrence as a result of first-hand experience.","A secondary source is an analysis or augmentation of an occurrence based upon the data given by a primary source.","Clear","Confident","Unprepared","3-5","Being resilient is definitely a skill that is necessary for college. Time management plays off of that because in order to bounce back from mistakes or tough tests, we need to be able to manage our time well enough to figure out what we can do next and how efficiently that can occur.","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"It means that I am immersed in an environment that allows me to feel learning just as much as I am being told to learn something. Learning something takes a back seat to the more intriguing term of discovery, which implies that I as a student am discovering something myself instead of having it spoon fed to me."
"2022-09-29 09:48:29","2022-09-29 09:57:01","100","512","True","2022-09-29 09:57:02","R_27NkeWn1j2WnA8h",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"When I think of research I think of a group of people looking into a specific topic in order to find an answer to questions they may have regarding the topic.","I would start off by googling the topic and then looking up specific questions about the topic as I go. As I look at the general information regarding the topic, I would break it down into smaller chunks of what I'm actually looking for based on what I see online and then I would google that.","A source that is the original copy or version of the information.","A transcribed or copied version of the source, a source based on the primary source.","Clear","Confident","Prepared","1-2","I think it is important to be able to know how to find the information that you are looking for by doing research with your resources. I also think that it is important to be able to break up your work and do it in a timely manner and organize your working schedule.","Somewhat agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"To me a discovery experience would be discovering brand new aspects of subjects I may have already known about or learning more about subjects that I might not have thought I would ever study. It's more about my exposure to brand new ideas."
"2022-09-29 09:48:26","2022-09-29 09:58:18","100","591","True","2022-09-29 09:58:18","R_OqkLja9EGe55q0N",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Investigating a topic to find new discoveries or information ","I would search the topic in a search engine, then narrow down the sources I would use by eliminating all that are not scholarly/peer-reviewed. I would use multiple sources to come to my own conclusion, backed by the data.  ","A primary source is a source that is untouched, unprocessed, or interpreted. It is the raw material from which conclusions and research are conducted. ","A secondary source is a source that is not the original source of information but an interpretation or conclusion from the primary source. ","Clear","Unconfident","Prepared","3-5","Patience, reading comprehension, discipline, and willingness to learn.","Somewhat agree","In some classes, I feel I'm being tested on memorization and my ability to reproduce findings in the exact way the professor has done, rather than being encouraged to find my own paths and be creative. ","Neither agree nor disagree",NA,"Somewhat agree",NA,"To me, discovery experience means being part of an experience or group that conducts research to discover new things. "
"2022-09-29 09:48:21","2022-09-29 09:58:36","100","615","True","2022-09-29 09:58:37","R_eRqn9fvgOwrVcZz",NA,"37.7558","-121.9527","anonymous","EN","College Writing Programs R4B",NA,"Scientific research in the laboratory","I would first look over past research articles on relevant topics to see where our understanding of the topic is currently. Then, I would use that information to formulate my hypothesis for my research question and create a methodology to retrieve data through surveys or scientific experiments. I would then analyze the data to find the conclusions and see whether or not it supports my hypothesis.","A source directly from the person who stated it, such as an interview or autobiography.","A source that someone has written about someone else, such as a news article or biography.","Very Clear","Very Confident","Very Prepared","3-5","I think it is extremely important to follow your passions and not get distracted by what the majority are doing. If something is interesting to you, you should pursue that topic since it will turn into your future career.","Somewhat agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"To me, ""discovery experience"" means learning to make your own discoveries in college (through research) to help you gain experience in the field you are most interested in."
"2022-09-29 09:48:51","2022-09-29 09:59:16","100","625","True","2022-09-29 09:59:17","R_1FxqlcK7EWlotIy",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word ""research"", I think of searching for information that has been proven, solidified, and published. ","I would first do a broad search on the question and note down very general notes on this all. Then I would look for sources other than the internet surrounding this topic and what it encapsulates. I would gather information from various sources and compile it all together. ","A primary source is something that has information from a first hand source, someone that was there to witness it or tell it how they themselves observed it. ","A secondary source is somebody who was not there, but has gathered information from somebody who was there. ","Unclear","Unconfident","Prepared","1-2","Organization, enough sleep, a manageable schedule, good study habits","Neither agree nor disagree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"It means to have an experience in which you learn something new or that is different from your usual way of thinking."
"2022-09-29 09:48:27","2022-09-29 09:59:40","100","672","True","2022-09-29 09:59:41","R_bf4dPuge7NSXSmJ",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word ""research"", I think about having to gather different pieces of articles and information to support my thesis of what my topic is about. It is about writing a paper that proves something that no one has ever heard of before. ","1. I would gather articles online/from the library that are related to my topic. 
2. I would create a thesis based on my research
3. With my thesis and information, I would conduct my own experiments to prove my statements. 
4. Write a paper about my discoveries","A primary source is information or knowledge that comes straight from the author/citing information that a person has said to you directly. ","A secondary source is information that came from other writings. ","Unclear","Very Unconfident","Unprepared","3-5","Motivation and persistance ","Strongly agree",NA,"Somewhat disagree",NA,"Somewhat agree",NA,"Discovery experience to me is what it means to find out something new that will make your knowledge grow us a person"
"2022-09-29 09:48:24","2022-09-29 10:00:29","100","725","True","2022-09-29 10:00:30","R_Yay5hqfuJgM0tMJ",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Using reliable sources to make new discoveries and draw conclusions. Different types of research come to mind— scientific research vs phenomenological research. ","The first step I’d take is finding reliable sources that will be helpful in answering my research topic or question. To find these sources I would first utilize the uc berkeley library database. Once I’ve found reliable sources, the next step would be to do a deep analysis of these sources— reading, annotating, and re-reading. The next step would be organizing my thoughts and evidence.","A primary source is a first hand account or an artifact.","A secondary source is a 2nd hand account.","Clear","Confident","Prepared","1-2","To succeed in college it is important to have strong organizational and time management skills. ","Strongly agree","Creativity is an important aspect of life in general and I believe it will be important in my educational journey. Creativity is an important part of problem solving. Creativity is also an important part of writing.","Strongly agree","I think discovery and learning are valued at UC Berkeley. In my experience, professors value the discovery of new ideas and students drawing their own conclusions. ","Strongly agree","Community engagement is an important part of the learning and discovery experience. Class discussions play an important role in drawing new conclusions.","“Discovery experience” is drawing unique conclusions based upon learning and research."
"2022-09-29 09:48:26","2022-09-29 10:00:53","100","746","True","2022-09-29 10:00:53","R_2wBHrZGeabzFZ0y",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"I think of searching for valid information through experiments, reading and analyzing articles, books, etc. ","I would first search for articles related to this topic and read and take notes on those.  I would do this either through the Berkeley library and/or a google search. ","A primary source is something that was created/formed at the time you are looking at.  It can be an article, sculpture, journal of the time. ","A secondary source is one that was created after the time period you are looking at.  This is most often someone who is talking about an event by they did not themselves experience it. Example: history textbook.","Clear","Unconfident","Prepared","1-2","I think time management, good study habitats, dedication, and a healthy de-stressor all combine to allow someone to succeed in college. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"I think this means conducting research and posing questions that will lead one to search for answers and make ""discoveries"".  This can be discoveries new to the world or simple to oneself.  Learning knowledge that was not known to one before. "
"2022-09-29 09:48:21","2022-09-29 10:01:04","100","763","True","2022-09-29 10:01:05","R_3NVCDkfsWJbg0oK",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word research I think of the idea of spending time to learn about a certain subject and then testing an idea related to the subject.","My first instinct would probably be to go to the internet first and study articles or experiments online that relate to the topic or question I am assigned. Next, I may use physical resources such as books, magazines, or even people that may know about what I am researching. ","I would say that a primary source is the source that is used the most in a research paper. It would be the source that provided the most information for the writer's research.","I would say that a secondary source could be a source that maybe backs up the ideas of the primary source. It couldn't be used alone, but would rather need to be used in conjunction with the primary source.","Clear","Confident","Prepared","1-2","I believe that responsibility, time management, and persuasiveness are all very important and necessary skills to succeeding in college. ","Strongly agree","I feel as though creativity will be so important because Berkeley is a challenging school that teaches in a way that encourages us to think outside of the box and demands a sense of creativity.","Somewhat agree","I feel like discovery will be an important part of my Berkeley education because there are so many new ideas brought to this school on a daily basis that I will definitely discover something new while being here.","Strongly agree","I strongly agree with this statement because the idea of a community is so important in the success of undergraduates.","To me ""Discovery experience"" means that there will be an experience where my mind is challenged and I am faced with new ideas and topics."
"2022-09-29 09:48:21","2022-09-29 10:01:50","100","808","True","2022-09-29 10:01:50","R_3MfEaDwI60oUKAA",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Reading sources and synthesizing information about a specific topic, working in the library reading sources and synthesizing information. Hoping to discover something new or bring new analysis to established truths","I would first do online research about the broad aspects of the subject, and find a baseline understanding. I would then get more specific and find sources discussing the topic or question, or as close as I could find. I would read these sources, and begin to create conclusions based on them","A firsthand account of an event- a witness or subject. ","Someone who analyzes patterns and primary sources to determine broader conclusions of an event, but did not witness it","Clear","Unconfident","Unprepared","1-2","Close reading, critical analysis, time management and organization. ","Somewhat agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"Not much, but I assume an experience of learning more about a subject firsthand- becoming a primary source. "
"2022-09-29 12:42:17","2022-09-29 12:45:25","100","187","True","2022-09-29 12:45:26","R_10wluLUiKn2mT0G",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"Searching up documents in order to form an educated opinion.","First I would research the topic online, and then in-person at libraries and/or museums. I would gather information from those sources.","A source that comes directly from a person.","A source that doesn't directly come from a person, but comes from someone else who analyzed that person.","Unclear","Confident","Prepared","3-5","Reading and writing comprehension, time management, responsibility","Somewhat agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"Learning things you have never learned before through research with peers."
"2022-09-29 12:42:44","2022-09-29 12:46:21","100","217","True","2022-09-29 12:46:22","R_UbvJrINYrLniiHf",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"I think scientific research in a laboratory based setting or researching from databases and library sources in order to write a paper or know more information. ","I would go onto google and type out specific keywords or phrases to get this information. ","Primary source is a direct source?","Secondary is something quoted or rewritten by someone else. ","Clear","Confident","Prepared","1-2","Good work ethic, waking up on time, and interacting with GSIs and Professors..","Somewhat disagree",NA,"Somewhat disagree",NA,"Somewhat disagree",NA,"It doesn't mean much to me—in my opinion it just means the experience of discovering something. "
"2022-09-29 12:42:20","2022-09-29 12:46:32","100","252","True","2022-09-29 12:46:33","R_2Ugh7YU4g9pDmaH",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"Studies conducted to obtain new data or information.","First, I would read articles that are very high level so I can have a strong background knowledge on the topic. Then, I would create a list of questions I have on the topic. Next, I would read more nuanced articles which address my questions. Finally I would create a report to summarize my topic and the subtopics in this topic which I'm aiming to address.","A primary source is a firsthand source. For example if there was a fire, a primary source would be someone who was at the scene of the fire.","A secondary source is a second hand source.","Clear","Unconfident","Unprepared","1-2","I think it's necessary to know when and how to ask for help. I think it's necessary to be able to learn from diverse perspectives and to have an open mindset.","Somewhat agree",NA,"Strongly agree",NA,"Strongly agree",NA,"To me, discovery experience means the process of learning something new."
"2022-09-29 12:45:04","2022-09-29 12:47:48","100","164","True","2022-09-29 12:47:48","R_8cQ2KPbVaUQiqyJ",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"Study about a certain topic","Decide on a question I want to answer
Brainstorm steps I can take to answer the question
Gather evidence
Analyze evidence
Come to a conclusion and answer","A primary source is a first-hand scholarly source of information that has done its own research and study.","A secondary source cites studies done in primary sources and does additional analysis.","Clear","Confident","Prepared","6-8","Critical thinking, organization, and ability to take problems step-by-step","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"""Discovery experience"" is being able to find new topics of interest and potential things to explore in my future. "
"2022-09-29 12:42:16","2022-09-29 12:48:34","100","378","True","2022-09-29 12:48:35","R_2vitCxzu2uneoVw",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"When I hear the word ""research"" I think of looking into a topic through web searches, reading of books related to said topic, or asking others knowledgable in the field of the topic.","1. Do a quick web search to get a general idea of my topic 
2. Watch a video on the topic 
3. Begin researching more in-depth using websites I trust 
4. Go to the library and see if I can find books related to the topic 
","A primary source is one directly from a writer that was in the time period of your research topic or has direct relations to your research, whether that be that they themselves have done scientific research on the topic or something like that. ","A secondary source is one that is not directly from someone related to your topic but is a writing about the topic. So basically another person's research on a topic. ","Clear","Confident","Prepared","3-5","1. time-management 
2. organization 
3. balance 
4. honesty ","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"""Discovery experience"" means learning new things and having exposure to different fields of study not just in the classroom but in hands-on situations too."
"2022-09-29 12:42:17","2022-09-29 12:49:02","100","405","True","2022-09-29 12:49:03","R_DGIqRYOhrFokxNv",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"I think of gathering information, running tests to validate claims, and the work that goes into discovering new information.","Depending on the topic, I would research it using different sources like the Internet, written materials, or even talking to knowledgable subjects. I'd use the information I gather to come up with specific claims and verified intel about whatever my research topic/question is. ","A primary source is a resource that's directly linked to whatever you're researching and that has first-hand knowledge/experience of that topic.","A secondary source is a resource that doesn't have first-hand knowledge/experience, but does have verified information about something that's been gathered from other sources that may have been primary.","Very Clear","Very Confident","Very Prepared","1-2",NA,"Somewhat agree",NA,"Strongly agree",NA,"Strongly agree",NA,NA
"2022-09-29 12:42:43","2022-09-29 12:49:29","100","405","True","2022-09-29 12:49:30","R_3L6DGYIKMkbCxlp",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"The act of diving into a subject and trying to gain a full understanding of its origins and meaning","1. brainstorm what I already know
2. search up the topic or question
3. use other related key words to search up sources
4. find resources in the library to read into
5. find reliable sites online related to the topic","A primary source is a source coming directly from someone who was at the scene of the event or something original ","A secondary source is a source that writes or presents about the event who wasn't at the scene to actually witness it. ","Clear","Unconfident","Prepared","1-2","Open-mindedness, leadership, persistence, and organization","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"Discovery experience means the process of finding something, not just the findings themselves. "
"2022-09-29 12:42:50","2022-09-29 12:49:56","100","426","True","2022-09-29 12:49:56","R_1GUJ5odBHuL9Qit",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"When I hear the word ""research"" I think about finding more information about a certain topic and using that research to then make discoveries.","I would search through some data bases, this could be library or online resources. Then I would look for keywords in these sources, and write down data about this topic. ","A primary source is an artifact or document that is coming straight from the source itself.","A secondary source is when someone writes about a primary source, analyzing it.","Clear","Confident","Prepared","3-5","I think that the ability to be independent and find things out on your own or use the resources available to you are necessary to succeed in college.","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree","I think that is important to get involved outside of the classroom in order to gain experience in real world scenarios.","Discovery experience is being able to find out about something through research and through this process that requires hard work."
"2022-09-29 12:42:47","2022-09-29 12:50:05","100","438","True","2022-09-29 12:50:06","R_887KVrP759K3r2N",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"To me, research carries the connotation of diving deeper into learning more about a certain topic. The specificity or scope of the research could vary depending on one's willingness to explore more niche aspects of the subject. ","I would first search for a broader meaning or definition ascribed to my topic of research, then branch off into learning more about subtopics or related material that could help me understand the main question better. I would jot down notes of important points to refer back to when the information volume reaches a high volume. ","A primary source is produced at or near the time of the event which it is describing. ","A secondary source branches off of a primary source in order to convey information about a certain topic or event. ","Clear","Confident","Prepared","9-10","I believe strong communication skills (both written and verbal) are essential to succeed, regardless of whether one is pursuing a STEM or humanities oriented path. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"The term discovery experience sounds like unconvering new topics or learning more about pre-existing subject areas that I did not know about previously."
"2022-09-29 12:42:41","2022-09-29 12:50:10","100","449","True","2022-09-29 12:50:10","R_2cBiW5batT4QJ5A",NA,"37.8657","-122.2571","anonymous","EN","East Asian Languages R1B",NA,"exploring the unknown. studying questions that might not have an answer","1. read relevant articles, wikipedia to get a general idea.
2. find books from university library
3. select books that will be relevant based on brief overview/analysis
4. combine this information with my own discoveries and insights to formulate a thesis","first-hand account","second-hand account","Very Clear","Confident","Very Prepared","9-10","calm in the face of distractions and change
community of like-minded people
persistent reflection/understanding of yourself
","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"It's the process of trying to answer some questions. In the end, the question might not be answered but the journey taken along the way will be valuable."
"2022-09-29 12:44:16","2022-09-29 12:50:11","100","355","True","2022-09-29 12:50:11","R_1jkV85VNvmSDvu1",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R1A",NA,"A question that one has and does experiments or uses many sources to analyze and understand the question at hand, and in the end will find the validity of the question.","Using search tools, asking experts in the field, and looking up prior documents with similar questions.","An account from a person who experienced or witnessed what they wrote about, or a source that was the first of its kind in analyzing a specific topic.","A written analysis of  a primary source, a third person view of an initial account.","Clear","Unconfident","Unprepared","3-5","strong mindset, academic integrity and perseverance, ability to ask for help and rely on others and vice versa.","Neither agree nor disagree",NA,"Strongly agree",NA,"Strongly agree",NA,"The feeling someone gets when they come across a new revelation or discovery."
"2022-09-29 12:42:16","2022-09-29 12:50:19","100","482","True","2022-09-29 12:50:19","R_1CCMciyfs0qDX00",NA,"37.8657","-122.2571","anonymous","EN","East Asian Languages R1B",NA,"Finding and understanding credible sources with information on the subject you are attempting to research.","First I would look online for articles from well known publications on the topic. Next I would go to Berkeley Library search to look for books/articles on the subject.","A primary source is an object which is directly connected to your topic/question.","A secondary source is an object which informs based on primary objects.","Clear","Confident","Unprepared","3-5","Time management, ambition to learn, ability to conduct research, and ability to reason with clear, concise, repeatable logic.","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"""Discovery experience"" means making connections between information and results (inputs and outputs) without or with very little help from others."
"2022-09-29 12:42:34","2022-09-29 12:50:45","100","491","True","2022-09-29 12:50:46","R_2aj8tgobJwUR0kh",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"The idea of exploring the unknown and attempting to find answers or at least evidence that is significant to a field of study.","I would take past pieces of evidence that would provide some insight into the research that I was assigned. I would have to go through information and gather together enough evidence to be able to draw a conclusion of some sort.","An object, person, text, or anything that has agency and is directly comes from the event I am researching. ","A secondary source is a similar to the primary source, except it draws its own perspective on that of primary sources.","Clear","Confident","Prepared","3-5","I would say diligence and just the core value that I want to succeed. These no matter of my abilities will help me succeed in college.","Somewhat agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"It is an event that occurs and results in an individual finding a new piece of evidence that can be used to draw a conclusion or at least reason from. Simply it is an event that can be considered ""new evidence"""
"2022-09-29 12:42:39","2022-09-29 12:52:02","100","563","True","2022-09-29 12:52:02","R_3sj3PCKecrHzPrc",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"When I hear the word research, I think about putting in time to search and look for resources through many different means and being able to use those resources in some type of way to arrive to a conclusion. ","I would use any resources I could find that would be relevant to that topic, and the resources could be available through the internet or physically as well. I would take my time to get used to that topic and make sure to familiarize myself with what it means and how I could form some sort of paper around it. ","A primary source is a source that is most important to whatever topic you might be researching.","A secondary source is a source who can elevate or give more insight to what you are researching. ","Clear","Confident","Prepared","3-5","Time management and effective studying skills are essential for college. Some other things might include knowing how to cook, and being organized as well. ","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"It means being willing to try out different things and open to research."
"2022-09-29 12:42:30","2022-09-29 12:52:16","100","586","True","2022-09-29 12:52:16","R_2U8X2NeDzKx99EY",NA,"51.5064","-0.02","anonymous","EN","Other course, please specify:","East Asian Languages R1B","Books, library, peer review, online sources, bibliography, innovation, learning, discovery, writing, essay","First I would do some low level research such as a quick google source. I would write down topics, key words, researchers, books, etc pertaining to my question. Then I would go on Berkeley’s online library and look up these key terms. Once I find a book that I think will be helpful, I will read the synopsis and do a google search on it to see if it will help me with my research. If i determine that it will help me, I will check it out and read it (or read a specific chapter relating to my question).","A source that was created during the time and place an event was occurring. Ex: diary, art pieces, books from a certain time period, newspaper, magazines, etc. ","A source that explains/discusses a certain topic that occurred somewhere unrelated to where it was created. ","Clear","Unconfident","Prepared","3-5","Reading comprehension skill, time management, quick understanding, efficient note taking","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"The experience of discovering something for yourself/others. "
"2022-09-29 12:43:23","2022-09-29 12:52:47","100","563","True","2022-09-29 12:52:47","R_1DGvGlbCvXOT0qQ",NA,"37.8736","-122.257","anonymous","EN","East Asian Languages R1B",NA,"An investigation into a particular topic, whether it is the relationship between two phenomena, the behavior of a certain entity, etc. to expand the general knowledge of that topic.","The internet is an expansive resource to gather information on the specific topic/question, more so peer-reviewed, educational, and professional resources and references. With this (in addition to possibly resources from a library), I would gather general information to develop context on the topic and cross-reference to ensure the information is correct. After gathering all this information, I would record it on a document, spreadsheet, etc.","A primary source is a reference or a resource that serves as direct evidence that can be used to research a topic/question through firsthand experience. Primary sources can be ancient artifacts, journals from a specific historical time, geological remains, etc.","A secondary source is a source of information that does give insight into a topic/question, but it relies mostly or completely on the analysis of a primary source. While it may not provide direct information into the topic/question, it can provide some interpretation or implication about the primary source.","Clear","Very Confident","Prepared","3-5","To succeed in college, some skills/strategies/values necessary include time management, communication, accountability, and responsibility.","Somewhat agree",NA,"Strongly agree",NA,"Strongly agree",NA,"I interpret this phrase as a means of learning or gaining knowledge about a certain topic, object, phenomenon, etc. through means of discovery, rather than verbal teaching. This can be through experimentation, research, or even just asking questions."
"2022-09-29 17:12:20","2022-09-29 17:16:17","100","237","True","2022-09-29 17:16:17","R_2SB6zolla5gFw9m",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I hear research, I think of hours of investigation which would eventually lead to a conclusion pertaining to a specific question. ","1. I would define all unknown words in the question 
2. I would look into the general notes about the topic. 
3. I would then look for journal articles about my topic. ","A firsthand source from the hand of an event or situation. ","A witness account of an event or situation. ","Clear","Confident","Prepared","6-8","Dedication, time-management","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"To me, this means the journey that one has to take in order to find new information related to a topic or experience that someone is interested in. "
